Organ,SeqID
Adipose,6578_29
Adipose,24221_3
Adipose,9851_9
Adipose,15386_7
Adipose,8484_24
Adipose,2575_5
Adipose,18830_1
Adipose,3554_24
Conventional,6578_29
Conventional,3810_50
Conventional,4159_130
Conventional,22511_28
Conventional,7717_95
Conventional,5870_23
Conventional,15610_72
Conventional,13959_7
Conventional,15497_9
Conventional,15486_126
Conventional,6209_2
Conventional,21943_170
Conventional,21942_14
Conventional,12669_30
Conventional,13618_15
Conventional,21862_145
Conventional,24685_12
Conventional,12463_7
Conventional,20970_14
Conventional,21450_333
Conventional,5340_24
Conventional,3336_50
Conventional,24493_10
Conventional,18409_61
Conventional,19561_216
Conventional,11368_32
Conventional,7174_15
Conventional,11513_92
Conventional,17722_5
Conventional,22429_13
Conventional,18860_2
Conventional,11431_235
Conventional,19127_1
Conventional,9969_8
Conventional,20542_47
Conventional,24453_75
Conventional,13575_40
Conventional,4534_10
Conventional,22375_15
Conventional,19199_3
Conventional,20183_48
Conventional,11174_8
Conventional,9600_55
Conventional,25463_3
Conventional,13614_6
Conventional,2580_83
Conventional,4261_55
Conventional,13929_27
Conventional,21903_6
Conventional,11617_1
Conventional,12651_21
Conventional,21901_14
Conventional,19574_5
Conventional,8488_33
Conventional,3739_72
Conventional,14747_9
Conventional,2607_54
Conventional,6372_7
Conventional,7871_16
Conventional,24938_7
Conventional,9337_43
Conventional,22839_23
Conventional,11117_2
Conventional,5138_50
Conventional,14332_3
Conventional,12940_35
Conventional,9168_31
Conventional,17725_37
Conventional,21889_2
Conventional,25428_103
Conventional,12684_5
Conventional,20231_23
Conventional,21276_11
Conventional,7204_1
Conventional,17721_82
Conventional,24635_25
Conventional,3823_9
Conventional,7184_13
Conventional,6351_55
Conventional,7018_10
Conventional,12854_3
Conventional,3470_1
Conventional,9783_75
Conventional,25288_16
Conventional,12612_37
Conventional,12623_84
Conventional,13624_17
Conventional,21365_5
Conventional,7933_75
Conventional,3329_14
Conventional,14064_21
Conventional,5657_28
Conventional,9051_13
Conventional,21643_8
Conventional,12735_39
Conventional,4209_60
Conventional,24679_35
Conventional,17449_23
Conventional,5628_21
Conventional,12738_43
Conventional,14599_18
Conventional,3198_4
Conventional,18864_7
Conventional,3479_71
Conventional,3143_3
Conventional,19202_10
Conventional,3416_2
Conventional,12604_16
Conventional,3813_3
Conventional,3041_55
Conventional,23393_56
Conventional,6603_18
Conventional,7121_2
Conventional,14028_22
Conventional,2652_15
Conventional,2666_53
Conventional,8866_53
Conventional,8978_30
Conventional,12585_39
Conventional,2891_1
Conventional,5667_3
Conventional,2780_35
Conventional,14755_4
Conventional,8946_38
Conventional,25880_14
Conventional,21989_12
Conventional,25232_4
Conventional,9251_28
Conventional,24911_57
Conventional,21996_28
Conventional,18225_13
Conventional,20519_7
Conventional,22027_13
Conventional,2668_70
Conventional,19317_114
Conventional,3853_56
Conventional,22033_32
Conventional,22033_7
Conventional,10528_2
Conventional,8794_13
Conventional,5798_3
Conventional,21572_91
Conventional,6267_51
Conventional,4254_6
Conventional,11549_6
Conventional,5085_18
Conventional,10496_11
Conventional,8955_60
Conventional,2952_75
Conventional,8406_17
Conventional,2974_61
Conventional,24444_10
Conventional,8018_43
Conventional,9003_99
Conventional,20134_27
Conventional,21132_9
Conventional,10014_31
Conventional,8748_45
Conventional,6974_6
Conventional,2681_23
Conventional,21754_5
Conventional,23540_3
Conventional,11138_16
Conventional,11319_106
Conventional,24695_8
Conventional,10737_96
Conventional,8388_24
Conventional,10870_32
Conventional,16323_8
Conventional,5111_15
Conventional,16814_13
Conventional,4973_18
Conventional,12486_8
Conventional,14090_23
Conventional,18214_2
Conventional,23640_10
Conventional,11361_73
Conventional,13969_24
Conventional,15540_6
Conventional,9218_7
Conventional,5392_73
Conventional,9459_7
Conventional,6248_68
Conventional,16913_8
Conventional,9283_8
Conventional,5487_7
Conventional,7882_31
Conventional,6352_8
Conventional,5825_49
Conventional,7806_33
Conventional,3152_57
Conventional,8368_102
Conventional,6955_68
Conventional,8807_13
Conventional,18434_141
Conventional,14023_84
Conventional,3415_61
Conventional,21344_31
Conventional,24417_22
Conventional,12775_6
Conventional,11547_84
Conventional,4992_49
Conventional,18178_13
Conventional,14037_18
Conventional,8244_16
Conventional,25284_47
Conventional,6151_18
Conventional,23274_27
Conventional,12494_99
Conventional,16558_2
Conventional,8750_46
Conventional,4355_13
Conventional,12644_63
Conventional,12510_3
Conventional,2278_61
Conventional,10045_47
Conventional,13534_20
Conventional,15431_31
Conventional,21728_4
Conventional,21583_14
Conventional,16035_8
Conventional,2358_19
Conventional,20545_17
Conventional,23340_37
Conventional,12514_16
Conventional,10435_2
Conventional,18392_19
Conventional,6383_90
Conventional,13066_42
Conventional,11126_102
Conventional,9561_21
Conventional,15533_97
Conventional,11282_16
Conventional,3684_78
Conventional,11207_3
Conventional,2501_51
Conventional,14759_149
Conventional,18429_10
Conventional,4482_66
Conventional,4127_75
Conventional,13657_2
Conventional,23671_11
Conventional,12970_35
Conventional,5105_2
Conventional,20529_7
Conventional,25064_34
Conventional,13596_3
Conventional,14099_20
