SeqID,CV
10000_28,3.5
10001_7,4.0
10003_15,6.5
10006_25,3.5
10008_43,2.5
10010_10,3.5
10011_65,3.5
10012_5,7.5
10013_34,6.0
10014_31,2.5
10015_119,2.5
10021_1,5.0
10022_207,4.0
10023_32,7.0
10024_44,3.5
10025_1,3.0
10030_8,4.5
10034_16,4.5
10035_6,2.5
10036_201,6.5
10037_98,4.0
10039_32,3.5
10040_63,5.5
10041_3,5.5
10042_8,5.5
10043_31,3.0
10044_12,29.0
10045_47,3.5
10046_55,4.5
10047_12,9.0
10048_7,2.5
10049_112,2.5
10053_5,9.5
10054_3,4.0
10056_5,3.5
10058_1,6.0
10063_10,3.0
10064_12,2.0
10069_2,3.0
10070_22,4.5
10073_22,3.5
10074_128,2.5
10075_75,6.5
10076_1,3.0
10078_5,3.5
10080_9,8.0
10081_17,9.0
10082_251,6.0
10085_25,3.0
10086_39,4.0
10087_10,3.5
10088_37,6.0
10089_7,4.5
10336_3,7.0
10339_48,7.0
10342_55,12.0
10344_334,7.5
10346_5,7.0
10351_51,4.5
10354_57,4.0
10356_21,8.5
10361_25,4.0
10362_35,3.0
10363_13,5.0
10364_6,4.5
10365_132,3.0
10366_11,3.5
10367_62,3.5
10370_21,5.5
10372_18,5.0
10379_19,3.0
10382_1,7.5
10390_21,6.5
10391_1,6.5
10396_6,6.5
10398_110,3.0
10416_79,5.0
10418_36,4.5
10419_1,5.0
10420_30,18.5
10424_31,4.5
10425_3,3.0
10426_21,44.0
10427_2,8.5
10428_1,8.5
10430_31,9.5
10432_3,4.5
10435_2,4.0
10438_19,3.0
10439_57,5.0
10440_26,2.5
10442_1,5.0
10445_20,7.5
10447_18,3.0
10449_31,12.0
10451_11,6.5
10452_24,13.0
10453_7,5.0
10454_99,7.0
10455_196,3.5
10457_3,3.5
10460_1,15.5
10461_57,3.5
10462_14,4.0
10463_23,3.0
10464_6,3.0
10467_58,5.5
10470_34,55.0
10471_25,3.5
10472_53,12.0
10473_2,4.0
10476_23,5.0
10477_162,48.0
10479_18,4.0
10480_33,3.5
10485_56,85.0
10489_19,9.5
10490_3,4.5
10491_21,15.0
10494_48,5.0
10495_10,3.0
10496_11,4.0
10497_242,4.5
10499_1,4.5
10501_3,80.0
10502_15,4.5
10503_55,6.0
10504_6,6.0
10505_12,3.0
10506_53,3.0
10507_166,4.0
10510_62,3.5
10511_10,150.0
10512_13,3.5
10513_13,3.5
10514_5,4.0
10516_53,4.5
10518_14,4.5
10521_10,2.5
10522_167,15.0
10527_22,6.5
10528_2,3.0
10529_19,3.5
10530_8,3.5
10531_18,4.5
10533_1,13.5
10534_40,3.5
10535_25,11.5
10539_30,3.5
10546_2,10.5
10547_42,2.5
10548_35,4.5
10550_37,5.0
10551_7,5.0
10552_88,4.5
10553_8,4.0
10554_23,44.0
10557_6,3.0
10558_26,5.5
10560_1,9.0
10561_5,9.5
10562_42,6.5
10563_13,3.5
10565_19,3.5
10569_28,6.0
10571_14,3.0
10572_65,5.5
10574_10,5.0
10575_31,5.0
10576_7,3.5
10580_14,5.5
10582_36,15.5
10583_1,3.5
10584_7,7.0
10588_39,3.5
10589_7,7.0
10593_14,60.0
10600_24,55.0
10603_1,6.0
10605_22,4.5
10606_34,4.0
10607_4,48.0
10608_9,3.5
10610_8,5.5
10612_18,4.0
